4934.8422568 -1039.969  3.094 0  0  
4954.8325133  -844.032  2.378 0  0  
4956.8055753  1190.419  2.433 0  0  
4983.7392758 -1054.039  2.465 0  0  
4984.7414018   424.984  2.197 0  0  
4986.7437238 -1131.736  2.443 0  0  
5107.1530306  -768.969  5.088 0  0  
5109.0582865  1328.688  3.762 0  0  
5191.1035105 -1051.954  2.146 0  0  
5192.1183064  1197.589  2.081 0  0  
5851.1421068   990.960  3.144 0  0  
5880.1318906   444.225  3.334 0  0  
5901.9809739   433.408  2.208 0  0  
6266.0736033 -1008.888  2.217 0  0  
6639.1110621   707.908  2.290 0  0  
