5485.3531   -821.0 11.0    0  0 
5486.4051   -953.0 14.0    0  0 
5488.3582   -883.0 13.0    0  0 
5489.3710   -934.0 16.0    0  0 
5519.3509  -1127.0 12.0    0  1 
5523.2950  -1079.0 11.0    0  1 
5524.3205  -1104.0 15.0    0  1 
5525.3292  -1001.0 11.0    0  1 
5527.3109   -963.0 12.0    0  1 
5529.3862  -1010.0 10.0    0  1 
5540.3215  -1145.0 18.0    0  1 
5559.2497  -1052.0 10.0    0  1 
5563.2598  -1100.0 10.0    0  1 
5564.2396   -969.0 11.0    0  1 
5579.2475  -1075.0 12.0    0  1 
5581.2370   -994.0 12.0    0  1 
5583.2417   -935.0 15.0    0  1 
5585.2437   -966.0 11.0    0  1 
5586.2770  -1068.0 10.0    0  1 
5588.2466   -983.0 10.0    0  1 
