5413.7375  -863.0 15.0    0  0   
5485.6031  -880.0 22.0    0  0   
5538.5713  -996.0 20.0    0  0   
5541.5460  -829.0 18.0    0  0   
5725.8837  -965.0 11.0    0  0   
5726.9038  -796.0 11.0    0  0   
5756.8692  -837.0 19.0    0  0   
5769.8876  -934.0 14.0    0  0   
5777.8219  -846.0 13.0    0  0   
5782.7876  -804.0 13.0    0  0   
5784.8728  -868.0 13.0    0  0   
5795.7326  -962.0 13.0    0  0   
5804.6863  -962.0 15.0    0  0   
5829.7201  -851.0 10.0    0  0   
5832.6556  -966.0 12.0    0  0   
5858.5814  -933.0 23.0    0  0   
